3159,1771,0
3167,1784,0
3175,1771,0
3183,1772,0
3191,1784,0
3199,1871,0
3207,2071,0
3215,2348,0
3223,2593,0
3231,2749,0
3239,2821,0
3247,2837,0
3255,2847,0
3263,2890,0
3271,2994,0
3279,3101,0
3287,3244,0
3295,3355,0
3303,3440,0
3311,3478,0
3319,3505,0
3327,3514,0
3335,3513,0
3343,3505,0
3351,3494,0
3359,3482,0
3367,3474,0
3375,3467,0
3383,3468,0
3391,3473,0
3399,3483,0
3407,3497,0
3415,3532,0
3423,3527,0
3431,3551,0
3439,3569,0
3447,3573,0
3455,3565,0
3463,3545,0
3471,3506,0
3479,3466,0
3487,3385,0
3495,3332,0
